Ano e mês,Bairro/Rua,Data,Clima,Horário de Avaliação do Ponto,Périodo do dia,Direção,horas,minutos,bikes disponiveis para contratar
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1445 - 1500,Inter-peak (10:00-16:00),Southbound,15,45,1
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1515 - 1530,Inter-peak (10:00-16:00),Northbound,14,15,1
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1515 - 1530,Inter-peak (10:00-16:00),Southbound,15,15,1
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1530 - 1545,Inter-peak (10:00-16:00),Southbound,15,30,1
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1645 - 1700,PM peak (16:00-19:00),Southbound,15,45,1
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1745 - 1800,PM peak (16:00-19:00),Southbound,15,45,1
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1415 - 1430,Inter-peak (10:00-16:00),Northbound,18,15,2
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1430 - 1445,Inter-peak (10:00-16:00),Northbound,18,30,2
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1530 - 1545,Inter-peak (10:00-16:00),Northbound,18,30,2
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1545 - 1600,Inter-peak (10:00-16:00),Southbound,19,45,2
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1600 - 1615,PM peak (16:00-19:00),Southbound,19,0,2
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1630 - 1645,PM peak (16:00-19:00),Southbound,19,30,2
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1645 - 1700,PM peak (16:00-19:00),Northbound,18,45,2
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1700 - 1715,PM peak (16:00-19:00),Northbound,18,0,2
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1745 - 1800,PM peak (16:00-19:00),Northbound,18,45,2
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1415 - 1430,Inter-peak (10:00-16:00),Southbound,20,15,3
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1500 - 1515,Inter-peak (10:00-16:00),Southbound,20,0,3
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1600 - 1615,PM peak (16:00-19:00),Northbound,20,0,3
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1700 - 1715,PM peak (16:00-19:00),Southbound,21,0,4
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1730 - 1745,PM peak (16:00-19:00),Northbound,21,30,4
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1715 - 1730,PM peak (16:00-19:00),Northbound,21,15,5
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1730 - 1745,PM peak (16:00-19:00),Southbound,21,30,5
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,0600 - 0615,Early Morning (06:00-07:00),Northbound,6,0,0
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,0600 - 0615,Early Morning (06:00-07:00),Southbound,7,0,0
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,0615 - 0630,Early Morning (06:00-07:00),Northbound,6,15,0
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,0615 - 0630,Early Morning (06:00-07:00),Southbound,7,15,0
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,0630 - 0645,Early Morning (06:00-07:00),Northbound,6,30,0
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,0645 - 0700,Early Morning (06:00-07:00),Northbound,6,45,0
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,0700 - 0715,AM peak (07:00-10:00),Northbound,6,0,0
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,0715 - 0730,AM peak (07:00-10:00),Northbound,6,15,0
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,0745 - 0800,AM peak (07:00-10:00),Northbound,6,45,0
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,0800 - 0815,AM peak (07:00-10:00),Northbound,6,0,0
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,1900 - 1915,Evening (19:00-22:00),Northbound,7,0,0
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,1915 - 1930,Evening (19:00-22:00),Southbound,8,15,0
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,1945 - 2000,Evening (19:00-22:00),Northbound,7,45,0
